,Team 1,University
116,York Bastions,University of York
117,Casual Crusaders,Cardiff University
118,Surrey Fawns,University of Surrey
119,Only Ls JMU,Liverpool John Moores University
120,Staggered,University of Southampton
121,Bath Tubs,Bath Spa University
122,Falmouth Phoenix...,FXU (Falmouth &amp; Exeter Student's Union)
123,Falmouth Phoenix...,FXU (Falmouth &amp; Exeter Student's Union)
124,Portsmouth Pengiuns,University of Portsmouth
125,could be better,University of Lincoln
126,Hull Uni Team 1,University of Hull
127,Warwick Devils,University of Warwick
128,Teesside CLRJ,Teesside University
129,Huddersfield Hounds,University of Huddersfield
130,Mercy Mains Reunion,University of Essex
131,Solent Spartans,Southampton Solent University
132,London Legion...,College of Esports
133,Beds Bandits,University of Bedfordshire
134,BCUwU,Birmingham City University
135,UWE Sea Stags Red,University of the West of England
136,Northumbria Vikings,Northumbria University
137,MMU Team 3,Manchester Metropolitan University
138,Mercy Gang,Swansea University
139,The Westminster...,University of Westminster
140,Totally Quacked,University of Lincoln
141,Monkey Mondays V3,University of Northampton
142,Jokers Wild,Manchester Metropolitan University
143,ManOW2T2,University of Manchester
144,Leeds...,Leeds Conservatoire
145,Durham Disasters,Durham University
146,Eboracum Guards,York St John University
147,Bangor Team 2,Bangor University
148,Succumb to Brum,University of Birmingham
149,BCUrMum,Birmingham City University
150,Team 301,
151,Slay squad,Bath Spa University
152,QMU Monarchs,Queen Margaret University
153,The Silver Geese,University of Nottingham
154,CES Hydras,"City, University of London"
155,2 Casual,University of Warwick
156,DMUselesss,De Montfort University
157,Eboracum Raiders,York St John University
158,pimentos,University of Kent
159,UEA Nightjars,University of East Anglia
160,Herts Prey,University of Hertfordshire
161,Hull Uni Team 2,University of Hull
162,Jerrys,Loughborough University
163,Keele Conquerors,Keele University
164,Henry for President,Brunel University
165,QUB Team 2,Queen's University Belfast
166,Sheffield Hydras,University of Sheffield
