,Team Name,Team url,University,Seeds,Uni seeds
28,Cardiff Crusaders,/tournaments/overwatch-winter-22/teams/cardiff-crusaders-ow/matches,Cardiff University,13.0,1
29,Caledonian...,/tournaments/overwatch-winter-22/teams/caledonian-chargers-ow/matches,Glasgow Caledonian University,29.0,1
30,Kentsune,/tournaments/overwatch-winter-22/teams/kentsune/matches,University of Kent,30.0,1
31,Bristol Hashtag...,/tournaments/overwatch-winter-22/teams/bristol-ballers/matches,University of Bristol,4.0,1
32,Keele Krakens,/tournaments/overwatch-winter-22/teams/keele-krakens/matches,Keele University,31.0,1
33,Bath Bombers,/tournaments/overwatch-winter-22/teams/bath-bombers/matches,University of Bath,33.0,1
34,St AndrewsSss,/tournaments/overwatch-winter-22/teams/st-andrewssss/matches,University of St Andrews,11.0,1
35,Last Night in Soho,/tournaments/overwatch-winter-22/teams/last-night-in-soho/matches,Newcastle University,26.0,1
36,The Warwick...,/tournaments/overwatch-winter-22/teams/the-warwick-triangles/matches,University of Warwick,68.0,4
37,Genghis Swan,/tournaments/overwatch-winter-22/teams/genghis-swan/matches,University of Lincoln,34.0,1
38,Hopium,/tournaments/overwatch-winter-22/teams/hopium-/matches,Queen Mary University of London,66.0,1
39,Teesside based bois,/tournaments/overwatch-winter-22/teams/based-bois/matches,Teesside University,36.0,1
40,Sussex Sharks,/tournaments/overwatch-winter-22/teams/sussex-sharks/matches,University of Sussex,37.0,1
41,Chi_Noble,/tournaments/overwatch-winter-22/teams/chinoble/matches,University of Chichester,76.0,1
42,Microwave,/tournaments/overwatch-winter-22/teams/microwave/matches,University of Liverpool,24.0,2
43,ManOW2T1,/tournaments/overwatch-winter-22/teams/manowt1/matches,University of Manchester,23.0,1
44,Edinburgh Eclipse,/tournaments/overwatch-winter-22/teams/edinburgh-eclipse/matches,University of Edinburgh,84.0,1
45,Exepired,/tournaments/overwatch-winter-22/teams/exepired/matches,University of Exeter,42.0,2
46,CamDu Punters,/tournaments/overwatch-winter-22/teams/camdu-punters/matches,CamDu Punters,55.0,1
47,Bristol Hashtag...,/tournaments/overwatch-winter-22/teams/bristol-blank/matches,University of Bristol,54.0,2
48,UWE Sea Stags Black,/tournaments/overwatch-winter-22/teams/uwe-seastags/matches,University of the West of England,8.0,2
49,Strathers,/tournaments/overwatch-winter-22/teams/strathers/matches,University of Strathclyde,40.0,1
50,Yoshi Appreciators,/tournaments/overwatch-winter-22/teams/yoshi-appreciators-/matches,University of Leeds,85.0,2
51,Lincoln sIMPs,/tournaments/overwatch-winter-22/teams/lincoln-simps/matches,University of Lincoln,48.0,2
52,BU Red Barracudas,/tournaments/overwatch-winter-22/teams/bu-red-barracudas-/matches,Bournemouth University,,0
53,BU Blue Barracudas,/tournaments/overwatch-winter-22/teams/bu-blue-barracudas/matches,Bournemouth University,,0
54,Team Dynasty,/tournaments/overwatch-winter-22/teams/team-dynasty-/matches,Roehampton University,,0
55,UEA Kingfishers,/tournaments/overwatch-winter-22/teams/uea-kingfishers/matches,University of East Anglia,53.0,2
56,Edgy Sharks,/tournaments/overwatch-winter-22/teams/edgy-sharks/matches,University of Sussex,,0
57,Team 115,,,,0
58,Oxford,/tournaments/overwatch-winter-22/teams/oxford/matches,Oxford University,102.0,2
59,Brunel Basilisks,/tournaments/overwatch-winter-22/teams/brunel-basilisks/matches,Brunel University,,0
60,Risky Biscuits,/tournaments/overwatch-winter-22/teams/risky-biscuits/matches,Bath Spa University,106.0,1
61,Nanoboost,/tournaments/overwatch-winter-22/teams/nanoboost/matches,Swansea University,49.0,2
62,Heavens Rejects,/tournaments/overwatch-winter-22/teams/heavens-rejects-6118/matches,University of Warwick,86.0,5
63,OW SHU T1,/tournaments/overwatch-winter-22/teams/ow-shu-t1/matches,Sheffield Hallam University,10.0,1
64,Warwick Pro Tractors,/tournaments/overwatch-winter-22/teams/warwick-pro-tractors/matches,University of Warwick,62.0,3
65,Watt Wyverns 2022,/tournaments/overwatch-winter-22/teams/watt-wyverns-2022/matches,Heriot-Watt University,61.0,1
66,Falmouth Phoenix...,/tournaments/overwatch-winter-22/teams/falmouth-phoenix-gold/matches,FXU (Falmouth &amp; Exeter Student's Union),81.0,1
67,UoL Leicester...,/tournaments/overwatch-winter-22/teams/uol-leicester-lobsters/matches,University of Leicester,39.0,1
68,Plymouth...,/tournaments/overwatch-winter-22/teams/plymouth-leviathans-b-team/matches,University of Plymouth,115.0,2
69,Glasgow Winstons fr,/tournaments/overwatch-winter-22/teams/glasgow-winstons-fr/matches,University of Glasgow,22.0,1
70,BCUseless,/tournaments/overwatch-winter-22/teams/bcuseless/matches,Birmingham City University,78.0,1
71,Only Bronzes,/tournaments/overwatch-winter-22/teams/only-bronzes/matches,Manchester Metropolitan University,77.0,2
72,Dundee Vanguard,/tournaments/overwatch-winter-22/teams/dundee-vanguard/matches,University of Dundee,38.0,1
73,ttvseanadofps,/tournaments/overwatch-winter-22/teams/twitchtvseanadofps/matches,Imperial College London,75.0,1
74,Trent Thunder_Purple,/tournaments/overwatch-winter-22/teams/trent-thunderpurple/matches,Nottingham Trent University,74.0,3
75,drywalldrinkers,/tournaments/overwatch-winter-22/teams/drywalldrinkers/matches,Staffordshire University,15.0,2
76,DurhamDoge,/tournaments/overwatch-winter-22/teams/durhamdoge/matches,Durham University,67.0,2
77,Exe on the Beach,/tournaments/overwatch-winter-22/teams/exe-on-the-beach/matches,University of Exeter,17.0,1
78,Bath Bubbles,/tournaments/overwatch-winter-22/teams/bath-bubbles/matches,University of Bath,62.0,2
79,Aber Ult Spammers,/tournaments/overwatch-winter-22/teams/aber-ult-spammers/matches,Aberystwyth University,72.0,1
80,Derby Raptors Uni...,/tournaments/overwatch-winter-22/teams/derby-raptors-uni-gamer-society/matches,University of Derby,70.0,1
81,Brighton T2O,/tournaments/overwatch-winter-22/teams/brighton-t2o/matches,University of Brighton,,0
82,Salford Lions OW,/tournaments/overwatch-winter-22/teams/salford-lions-ow/matches,University of Salford,,0
83,Dundee Rearguard,/tournaments/overwatch-winter-22/teams/dundee-rearguard/matches,University of Dundee,71.0,2
84,DMU Team 1,/tournaments/overwatch-winter-22/teams/dmu-team-1/matches,De Montfort University,73.0,1
85,Bangor Team 1,/tournaments/overwatch-winter-22/teams/bangor-team-1/matches,Bangor University,65.0,1
86,Exestential Crisis,/tournaments/overwatch-winter-22/teams/exestential-crisis/matches,University of Exeter,121.0,3
87,Beds Bandits,/tournaments/overwatch-winter-22/teams/beds-bandits/matches,University of Bedfordshire,130.0,1
88,Staggered,/tournaments/overwatch-winter-22/teams/staggered/matches,University of Southampton,143.0,3
89,QUB Team 1,/tournaments/overwatch-winter-22/teams/qub-team-1/matches,Queen's University Belfast,83.0,1
90,Northumbria Vikings,/tournaments/overwatch-winter-22/teams/northumbria-vikings/matches,Northumbria University,126.0,1
91,MMU Team 3,/tournaments/overwatch-winter-22/teams/mmu-team-3/matches,Manchester Metropolitan University,99.0,3
92,York Bastions,/tournaments/overwatch-winter-22/teams/york-bastions/matches,University of York,88.0,3
93,Team Valkyrie,/tournaments/overwatch-winter-22/teams/team-valkyrie/matches,University of Abertay Dundee,57.0,2
94,Budget Crusaders,/tournaments/overwatch-winter-22/teams/budget-crusaders/matches,Cardiff University,90.0,3
95,Monkey Mondays V3,/tournaments/overwatch-winter-22/teams/monkey-mondays-v3/matches,University of Northampton,103.0,1
96,Glasgow Team Name...,/tournaments/overwatch-winter-22/teams/glasgow-team-name-pending/matches,University of Glasgow,110.0,4
97,Banned Bnet Bozos,/tournaments/overwatch-winter-22/teams/jorvik-protectors/matches,University of York,52.0,2
98,Ls2,/tournaments/overwatch-winter-22/teams/ls2/matches,University of Southampton,87.0,2
99,Durham Disasters,/tournaments/overwatch-winter-22/teams/durham-disasters/matches,Durham University,107.0,3
100,pompey bababo0ey,/tournaments/overwatch-winter-22/teams/pompey-bababo0ey/matches,University of Portsmouth,44.0,2
101,Tyneside Pog Frogs,/tournaments/overwatch-winter-22/teams/tyneside-pog-frogs/matches,Newcastle University,,0
102,Succumb to Brum,/tournaments/overwatch-winter-22/teams/succumb-to-brum/matches,University of Birmingham,111.0,2
103,BCUrMum,/tournaments/overwatch-winter-22/teams/bcurmum/matches,Birmingham City University,112.0,2
104,Sheffield Wyverns,/tournaments/overwatch-winter-22/teams/sheffield-wyverns/matches,University of Sheffield,93.0,2
105,Team 211,,,,0
106,Teesside Smoggies,/tournaments/overwatch-winter-22/teams/teesside-smoggies/matches,Teesside University,94.0,2
107,Clueless Crusaders,/tournaments/overwatch-winter-22/teams/clueless-crusaders/matches,Cardiff University,47.0,2
108,Surrey Stags,/tournaments/overwatch-winter-22/teams/surrey-stags/matches,University of Surrey,46.0,1
109,UWL West London...,/tournaments/overwatch-winter-22/teams/uwl-wyverns/matches,University of West London,97.0,1
110,BLANK,/tournaments/overwatch-winter-22/teams/blank/matches,University of Bristol,96.0,3
111,Glasgow Pride,/tournaments/overwatch-winter-22/teams/glasgow-pride/matches,University of Glasgow,43.0,2
112,Leeds...,/tournaments/overwatch-winter-22/teams/leeds-conservatoire-overwatch/matches,Leeds Conservatoire,,0
113,Trent Thunder_Blue,/tournaments/overwatch-winter-22/teams/trent-thunderblue/matches,Nottingham Trent University,50.0,1
114,UALSMOSHFANS2002,/tournaments/overwatch-winter-22/teams/ualsmoshfans2002/matches,University of the Arts London,92.0,1
115,Glasgow Switches,/tournaments/overwatch-winter-22/teams/glasgow-switches/matches,University of Glasgow,89.0,3
116,Euston Outlaws,/tournaments/overwatch-winter-22/teams/euston-outlaws/matches,University College London,148.0,1
117,The Westminster...,/tournaments/overwatch-winter-22/teams/westminster-/matches,University of Westminster,,0
118,Eboracum Warriors,/tournaments/overwatch-winter-22/teams/eboracum-esports-a/matches,York St John University,58.0,1
119,Kent Believe It,/tournaments/overwatch-winter-22/teams/kent-believe-it/matches,University of Kent,63.0,2
120,Staffs Shadows,/tournaments/overwatch-winter-22/teams/shadows/matches,Staffordshire University,64.0,3
121,Only Ls JMU,/tournaments/overwatch-winter-22/teams/ljmu-ow2/matches,Liverpool John Moores University,59.0,1
122,Quayside KekWs,/tournaments/overwatch-winter-22/teams/quayside-kekws/matches,Newcastle University,82.0,2
123,Portsmouth Edge...,/tournaments/overwatch-winter-22/teams/portsmouth-edge-runners/matches,University of Portsmouth,139.0,4
124,London Legion...,/tournaments/overwatch-winter-22/teams/london-legion-overwatch/matches,College of Esports,129.0,1
125,Solent Spartans,/tournaments/overwatch-winter-22/teams/solent-spartans/matches,Southampton Solent University,128.0,1
126,Portsmouth Pengiuns,/tournaments/overwatch-winter-22/teams/portsmouth-pengiuns/matches,University of Portsmouth,80.0,3
127,Huddersfield...,/tournaments/overwatch-winter-22/teams/huddersfield-hounds-t1/matches,University of Huddersfield,133.0,1
128,Huddersfield...,/tournaments/overwatch-winter-22/teams/huddersfield-hounds-team-2/matches,University of Huddersfield,,0
129,monke madness,/tournaments/overwatch-winter-22/teams/monke-madness/matches,University of Northampton,127.0,2
130,Teesside CLRJ,/tournaments/overwatch-winter-22/teams/teesside-clrj/matches,Teesside University,134.0,3
131,Warwick Devils,/tournaments/overwatch-winter-22/teams/warwick-devils/matches,University of Warwick,123.0,7
132,Eboracum Raiders,/tournaments/overwatch-winter-22/teams/eboracum-esports-b/matches,York St John University,104.0,2
133,Hull Uni Team 2,/tournaments/overwatch-winter-22/teams/hull-uni-team-2/matches,University of Hull,,0
134,Jerrys,/tournaments/overwatch-winter-22/teams/jerrys/matches,Loughborough University,125.0,1
135,CES Hydras,/tournaments/overwatch-winter-22/teams/ces-drakes/matches,"City, University of London",116.0,1
136,Falmouth Phoenix...,/tournaments/overwatch-winter-22/teams/falmouth-phoenix-white/matches,FXU (Falmouth &amp; Exeter Student's Union),141.0,4
137,Bath Tubs,/tournaments/overwatch-winter-22/teams/bath-tubs/matches,Bath Spa University,142.0,2
138,Sheffield Hydras,/tournaments/overwatch-winter-22/teams/sheffield-hydras/matches,University of Sheffield,138.0,3
139,UWE Sea Stags Red,/tournaments/overwatch-winter-22/teams/uwe-sea-stags-red/matches,University of the West of England,,0
140,Kenthardt,/tournaments/overwatch-winter-22/teams/kenthardt/matches,University of Kent,101.0,3
141,Casual Crusaders,/tournaments/overwatch-winter-22/teams/casual-crusaders/matches,Cardiff University,113.0,4
142,Eboracum Guards,/tournaments/overwatch-winter-22/teams/eboracum-guards/matches,York St John University,144.0,3
143,Staffs LONDON,/tournaments/overwatch-winter-22/teams/staffs-london-/matches,Staffordshire University,151.0,4
144,Totally Quacked,/tournaments/overwatch-winter-22/teams/totally-quacked/matches,University of Lincoln,137.0,4
145,ManOW2T2,/tournaments/overwatch-winter-22/teams/manow2t2/matches,University of Manchester,105.0,2
146,Jokers Wild,/tournaments/overwatch-winter-22/teams/jokers-wild/matches,Manchester Metropolitan University,140.0,4
147,Team 295,,,,0
148,Baby Sharks,/tournaments/overwatch-winter-22/teams/baby-sharks/matches,University of Sussex,109.0,2
149,CovPhoenix,/tournaments/overwatch-winter-22/teams/covphoenix/matches,Coventry University,50.0,1
150,Falmouth Phoenix...,/tournaments/overwatch-winter-22/teams/falmouth-phoenix-black/matches,FXU (Falmouth &amp; Exeter Student's Union),95.0,2
151,Mercy Gang,/tournaments/overwatch-winter-22/teams/mercy-gang/matches,Swansea University,135.0,3
152,Bangor Team 2,/tournaments/overwatch-winter-22/teams/bangor-team-2/matches,Bangor University,152.0,2
153,Surrey Fawns,/tournaments/overwatch-winter-22/teams/surrey-fawns/matches,University of Surrey,114.0,2
154,And Dey Sayers,/tournaments/overwatch-winter-22/teams/and-dey-sayers/matches,University of Sunderland,100.0,1
155,BCUwU,/tournaments/overwatch-winter-22/teams/bcuwu/matches,Birmingham City University,131.0,3
156,QUB Team 2,/tournaments/overwatch-winter-22/teams/qub-team-2/matches,Queen's University Belfast,,0
157,Henry for President,/tournaments/overwatch-winter-22/teams/henry-for-president/matches,Brunel University,132.0,1
158,Falmouth Phoenix...,/tournaments/overwatch-winter-22/teams/falmouth-phoenix-ruby/matches,FXU (Falmouth &amp; Exeter Student's Union),119.0,3
159,Mercy Mains Reunion,/tournaments/overwatch-winter-22/teams/mercy-mains-reunion/matches,University of Essex,69.0,2
160,could be better,/tournaments/overwatch-winter-22/teams/could-be-better/matches,University of Lincoln,79.0,3
161,Hull Uni Team 1,/tournaments/overwatch-winter-22/teams/hull-uni-team-1/matches,University of Hull,136.0,2
162,UEA Nightjars,/tournaments/overwatch-winter-22/teams/uea-nightjars/matches,University of East Anglia,,0
163,Slay squad,/tournaments/overwatch-winter-22/teams/slay-squad/matches,Bath Spa University,146.0,3
164,Herts Prey,/tournaments/overwatch-winter-22/teams/herts-prey-/matches,University of Hertfordshire,122.0,1
165,DMUselesss,/tournaments/overwatch-winter-22/teams/dmuselesss/matches,De Montfort University,118.0,2
166,Keele Conquerors,/tournaments/overwatch-winter-22/teams/keele-conquerors-/matches,Keele University,98.0,2
167,Team 335,,,,0
168,2 Casual,/tournaments/overwatch-winter-22/teams/2-casual/matches,University of Warwick,117.0,6
169,The Silver Geese,/tournaments/overwatch-winter-22/teams/the-silver-geese/matches,University of Nottingham,,0
170,QMU Monarchs,/tournaments/overwatch-winter-22/teams/qmu-monarchs/matches,Queen Margaret University,145.0,1
171,pimentos,/tournaments/overwatch-winter-22/teams/pimentos/matches,University of Kent,120.0,4
