,Team Name,Team url,University,Seeds
64,Staffordshire...,/tournaments/rocket-league-winter-22-north/teams/staffordshire-sixers-white/matches,Staffordshire University,15.0
65,Team 5,,,
66,Olivia Rodrigo Fans,/tournaments/rocket-league-winter-22-north/teams/olivia-rodrigo-fans-/matches,University of Leeds,7.0
67,Hallam Hammerheads,/tournaments/rocket-league-winter-22-north/teams/hallam-hammerheads/matches,Sheffield Hallam University,1.0
68,Watt is going on,/tournaments/rocket-league-winter-22-north/teams/watt-is-going-on/matches,Heriot-Watt University,17.0
69,Glasgow Grizzlies,/tournaments/rocket-league-winter-22-north/teams/glasgow-grizzlies/matches,University of Glasgow,6.0
70,Lobby 75,/tournaments/rocket-league-winter-22-north/teams/lobby-75/matches,University of Birmingham,30.0
71,Keele Leviathans,/tournaments/rocket-league-winter-22-north/teams/keele-leviathans/matches,Keele University,8.0
72,Edinburgh Eclipse,/tournaments/rocket-league-winter-22-north/teams/edinburgh-eclipse/matches,University of Edinburgh,25.0
73,Lboro Clangers,/tournaments/rocket-league-winter-22-north/teams/lboro-clangers/matches,Loughborough University,10.0
74,Team 23,,,
75,grUEA,/tournaments/rocket-league-winter-22-north/teams/gruea/matches,University of East Anglia,28.0
76,Asston,/tournaments/rocket-league-winter-22-north/teams/rl-team-1/matches,Aston University,21.0
77,Salford Washed,/tournaments/rocket-league-winter-22-north/teams/salford-washed/matches,University of Salford,4.0
78,UoB Circos,/tournaments/rocket-league-winter-22-north/teams/uob-circos/matches,University of Birmingham,2.0
79,Staffs Sixers Red,/tournaments/rocket-league-winter-22-north/teams/staffs-sixers-red/matches,Staffordshire University,31.0
80,Durham Defenders,/tournaments/rocket-league-winter-22-north/teams/durham-defenders/matches,Durham University,5.0
81,Strathers A,/tournaments/rocket-league-winter-22-north/teams/strathers-a/matches,University of Strathclyde,35.0
82,University of...,/tournaments/rocket-league-winter-22-north/teams/university-of-stirling/matches,University of Stirling,52.0
83,Three Big Manly Men,/tournaments/rocket-league-winter-22-north/teams/three-big-chunky-manly-men/matches,University of Nottingham,3.0
84,Northumbria...,/tournaments/rocket-league-winter-22-north/teams/northumbria-nighthawks/matches,Northumbria University,19.0
85,Newcastle Ninjas...,/tournaments/rocket-league-winter-22-north/teams/newcastle-ninjas-2022/matches,Newcastle University,12.0
86,Manchester Frenzy,/tournaments/rocket-league-winter-22-north/teams/manchester-frenzy/matches,University of Manchester,11.0
87,Yorkshire Tea,/tournaments/rocket-league-winter-22-north/teams/yorkshire-tea/matches,University of York,47.0
88,big boi 10,/tournaments/rocket-league-winter-22-north/teams/big--boi-10/matches,University of York,9.0
89,Strathers C,/tournaments/rocket-league-winter-22-north/teams/strathers-c/matches,University of Strathclyde,43.0
90,Team 55,,,
91,Newcastle Nitros,/tournaments/rocket-league-winter-22-north/teams/newcastle-nitros/matches,Newcastle University,26.0
92,TrentyFour 7,/tournaments/rocket-league-winter-22-north/teams/trentyfour-7/matches,Nottingham Trent University,47.0
93,Leic is More,/tournaments/rocket-league-winter-22-north/teams/leic-is-more/matches,University of Leicester,24.0
94,Durham Demons,/tournaments/rocket-league-winter-22-north/teams/durham-demons/matches,Durham University,40.0
95,Glasgow FD,/tournaments/rocket-league-winter-22-north/teams/glasgow-fd/matches,University of Glasgow,49.0
96,Good Soupz,/tournaments/rocket-league-winter-22-north/teams/good-soupz/matches,University of Leeds,21.0
97,D3fenceless Durham,/tournaments/rocket-league-winter-22-north/teams/d3fenceless-durham/matches,Durham University,32.0
98,Trenticles,/tournaments/rocket-league-winter-22-north/teams/trenticles/matches,Nottingham Trent University,16.0
99,Beckett Bears,/tournaments/rocket-league-winter-22-north/teams/beckett-bears-2/matches,Leeds Beckett University,18.0
100,Ez4Edinburgh,/tournaments/rocket-league-winter-22-north/teams/ez4edinburgh/matches,University of Edinburgh,34.0
101,Happier Happy...,/tournaments/rocket-league-winter-22-north/teams/happier-happy-mega-friends/matches,University of Lincoln,33.0
102,Manchester Maneaters,/tournaments/rocket-league-winter-22-north/teams/manchester-maneaters/matches,University of Manchester,53.0
103,QUB Dynasty,/tournaments/rocket-league-winter-22-north/teams/qub-dynasty/matches,Queen's University Belfast,50.0
104,Elevated Fennec,/tournaments/rocket-league-winter-22-north/teams/elevated-fennec/matches,University of Birmingham,38.0
105,Trentifiable,/tournaments/rocket-league-winter-22-north/teams/trentifiable/matches,Nottingham Trent University,30.0
106,UOS Lions,/tournaments/rocket-league-winter-22-north/teams/uos-lions/matches,University of Sheffield,29.0
107,BCU BREEZ,/tournaments/rocket-league-winter-22-north/teams/bcu-breez/matches,Birmingham City University,23.0
108,Keele Krakens C,/tournaments/rocket-league-winter-22-north/teams/keele-krakens-c/matches,Keele University,27.0
109,Team 93,,,
110,Manchester...,/tournaments/rocket-league-winter-22-north/teams/manchester-stinker-motorsports/matches,University of Manchester,44.0
111,Lankers C_hamps,/tournaments/rocket-league-winter-22-north/teams/lankers-champs/matches,Lancaster University,63.0
112,Sheffield Saints,/tournaments/rocket-league-winter-22-north/teams/sheffield-saints/matches,Sheffield Hallam University,42.0
113,QUB Queen Bees,/tournaments/rocket-league-winter-22-north/teams/qub-queen-bees/matches,Queen's University Belfast,41.0
114,AA ANGELS,/tournaments/rocket-league-winter-22-north/teams/aa-angels/matches,Aston University,20.0
115,Edinballers,/tournaments/rocket-league-winter-22-north/teams/edinballers/matches,University of Edinburgh,48.0
116,GirlfriendLeic,/tournaments/rocket-league-winter-22-north/teams/girlfriendleic/matches,University of Leicester,51.0
117,QUB RAMS,/tournaments/rocket-league-winter-22-north/teams/qub-rams/matches,Queen's University Belfast,39.0
118,Own Goalers,/tournaments/rocket-league-winter-22-north/teams/own-goalers/matches,University of Sheffield,37.0
119,Northumbria Noodles,/tournaments/rocket-league-winter-22-north/teams/northumbria-noodles/matches,Northumbria University,36.0
120,Lboro Echos,/tournaments/rocket-league-winter-22-north/teams/lboro-echos/matches,Loughborough University,56.0
121,Broom Broom,/tournaments/rocket-league-winter-22-north/teams/broom-broom/matches,University of Lincoln,57.0
122,five2manny,/tournaments/rocket-league-winter-22-north/teams/five2manny/matches,University of Manchester,68.0
123,Peter Gryphons,/tournaments/rocket-league-winter-22-north/teams/peter-gryphons/matches,University of Leeds,60.0
124,Team 123,,,
125,Durham Traffic...,/tournaments/rocket-league-winter-22-north/teams/durham-traffic-lights/matches,Durham University,67.0
126,Hallam Hawks,/tournaments/rocket-league-winter-22-north/teams/hallam-hawks/matches,Sheffield Hallam University,58.0
127,Liverpool Arctic...,/tournaments/rocket-league-winter-22-north/teams/liverpool-arctic-foxes-b/matches,University of Liverpool,62.0
128,HullPoint,/tournaments/rocket-league-winter-22-north/teams/hullpoint/matches,University of Hull,46.0
129,Cookies,/tournaments/rocket-league-winter-22-north/teams/cookies/matches,Northumbria University,65.0
130,Salford not Lions,/tournaments/rocket-league-winter-22-national/teams/salford-not-lions/matches,University of Salford,13.0
131,Roehampton...,/tournaments/rocket-league-winter-22-national/teams/roehampton-esports-gold/matches,Roehampton University,2.0
132,Exeter Emperors,/tournaments/rocket-league-winter-22-national/teams/exeter-emperors/matches,University of Exeter,5.0
133,Keele Krakens A,/tournaments/rocket-league-winter-22-national/teams/keele-krakens-a/matches,Keele University,9.0
134,Loughborough Lions,/tournaments/rocket-league-winter-22-national/teams/loughborough-lions/matches,Loughborough University,5.0
135,Lancaster League,/tournaments/rocket-league-winter-22-national/teams/lancaster-league/matches,Lancaster University,19.0
136,UoB Bottlers,/tournaments/rocket-league-winter-22-national/teams/alex-does-not-rhyme/matches,University of Birmingham,3.0
137,UEA Bluejays,/tournaments/rocket-league-winter-22-national/teams/uea-bluejays/matches,University of East Anglia,1.0
138,Portsmouth...,/tournaments/rocket-league-winter-22-national/teams/portsmouth-wawrick-portsmouth-paladins/matches,University of Portsmouth,8.0
139,Carspliff,/tournaments/rocket-league-winter-22-national/teams/carspliff/matches,Cardiff University,10.0
140,Bourne Beach Boys,/tournaments/rocket-league-winter-22-national/teams/bourne-beach-boys/matches,Bournemouth University,22.0
141,DMU FOXES,/tournaments/rocket-league-winter-22-national/teams/dmu-foxes/matches,De Montfort University,11.0
142,Warwick Unresolved,/tournaments/rocket-league-winter-22-national/teams/warwick-unresolved/matches,University of Warwick,4.0
143,Trent Thunder...,/tournaments/rocket-league-winter-22-national/teams/trent-thunder-esports/matches,Nottingham Trent University,7.0
144,Return to Monke,/tournaments/rocket-league-winter-22-national/teams/return-to-monke/matches,Liverpool John Moores University,15.0
145,RocKenteers,/tournaments/rocket-league-winter-22-national/teams/rockenteers/matches,University of Kent,18.0
146,Warwick Dissolve,/tournaments/rocket-league-winter-22-national/teams/warwick-dissolve/matches,University of Warwick,16.0
147,Loughborough...,/tournaments/rocket-league-winter-22-national/teams/loughborough-bundalengers/matches,Loughborough University,17.0
148,LiverPeaked,/tournaments/rocket-league-winter-22-national/teams/liverpeaked/matches,University of Liverpool,29.0
149,Southampton Saver...,/tournaments/rocket-league-winter-22-national/teams/southampton-saver-menu/matches,University of Southampton,14.0
150,Lincoln A,/tournaments/rocket-league-winter-22-national/teams/lincoln-a/matches,University of Lincoln,21.0
151,Bathelona,/tournaments/rocket-league-winter-22-national/teams/bathelona/matches,University of Bath,12.0
152,IC Trees of Green,/tournaments/rocket-league-winter-22-national/teams/ic-trees-of-green/matches,Imperial College London,24.0
153,Manchester Mermaids,/tournaments/rocket-league-winter-22-national/teams/manchester-mermaids/matches,University of Manchester,23.0
154,Warwick Dougie FC,/tournaments/rocket-league-winter-22-national/teams/warwick-dougie-fc/matches,University of Warwick,32.0
155,Couldnt Care Leic,/tournaments/rocket-league-winter-22-national/teams/couldnt-care-leic/matches,University of Leicester,31.0
156,York Pun Name,/tournaments/rocket-league-winter-22-national/teams/york-pun-name/matches,University of York,27.0
157,UWE Sea Stags,/tournaments/rocket-league-winter-22-national/teams/uwe-sea-stags/matches,University of the West of England,20.0
158,Bathletico Madrid,/tournaments/rocket-league-winter-22-national/teams/bathletico-madrid/matches,University of Bath,28.0
159,CES Dragons,/tournaments/rocket-league-winter-22-national/teams/ces-dragons/matches,"City, University of London",30.0
160,Portsmouth Potatoes,/tournaments/rocket-league-winter-22-national/teams/portsmouth-potatoes/matches,University of Portsmouth,26.0
161,Der Baby,/tournaments/rocket-league-winter-22-national/teams/der-baby/matches,University of Derby,25.0
